ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_pusd,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
20,-2.0,0.5,0.15,45,5,103,0,103,-57.1612444601893,0.0,0.0,-3.3668937261776732,0.06183960703328978,-0.5549635384484398,-0.06666666666666674,-1.143617021276596
20,-2.0,0.5,0.15,45,10,103,0,103,-114.3224889203786,0.0,0.0,-3.3668937261776732,0.12367921406657717,-1.1099270768968796,-0.13333333333333347,-2.287234042553192
20,-2.0,0.5,0.15,60,5,103,0,103,-57.1612444601893,0.0,0.0,-3.3668937261776732,0.06183960703328978,-0.5549635384484398,-0.06666666666666674,-1.143617021276596
20,-2.0,0.5,0.15,60,10,103,0,103,-114.3224889203786,0.0,0.0,-3.3668937261776732,0.12367921406657717,-1.1099270768968796,-0.13333333333333347,-2.287234042553192
20,-2.0,0.5,0.1,45,5,104,0,104,-57.87130363178694,0.0,0.0,-3.3779610289020665,0.06254966620488744,-0.5564548426133359,-0.06666666666666674,-1.143617021276596
20,-2.0,0.5,0.1,45,10,104,0,104,-115.74260726357387,0.0,0.0,-3.3779610289020665,0.1250993324097724,-1.1129096852266718,-0.13333333333333347,-2.287234042553192
20,-2.0,0.5,0.1,60,5,104,0,104,-57.87130363178694,0.0,0.0,-3.3779610289020665,0.06254966620488744,-0.5564548426133359,-0.06666666666666674,-1.143617021276596
20,-2.0,0.5,0.1,60,10,104,0,104,-115.74260726357387,0.0,0.0,-3.3779610289020665,0.1250993324097724,-1.1129096852266718,-0.13333333333333347,-2.287234042553192
30,-2.5,-0.5,0.1,45,5,69,0,69,-37.818067793205046,0.0,0.0,-3.379775214019444,0.04249643036630459,-0.5480879390319572,-0.13333333333333347,-0.9202453987730054
30,-2.5,-0.5,0.1,45,10,69,0,69,-75.63613558641009,0.0,0.0,-3.379775214019444,0.08499286073260873,-1.0961758780639144,-0.26666666666666694,-1.8404907975460107
30,-2.5,-0.5,0.1,60,5,69,0,69,-37.818067793205046,0.0,0.0,-3.379775214019444,0.04249643036630459,-0.5480879390319572,-0.13333333333333347,-0.9202453987730054
30,-2.5,-0.5,0.1,60,10,69,0,69,-75.63613558641009,0.0,0.0,-3.379775214019444,0.08499286073260873,-1.0961758780639144,-0.26666666666666694,-1.8404907975460107
30,-2.5,-0.5,0.15,45,5,69,0,69,-37.818067793205046,0.0,0.0,-3.379775214019444,0.04249643036630459,-0.5480879390319572,-0.13333333333333347,-0.9202453987730054
30,-2.5,-0.5,0.15,45,10,69,0,69,-75.63613558641009,0.0,0.0,-3.379775214019444,0.08499286073260873,-1.0961758780639144,-0.26666666666666694,-1.8404907975460107
30,-2.5,-0.5,0.15,60,5,69,0,69,-37.818067793205046,0.0,0.0,-3.379775214019444,0.04249643036630459,-0.5480879390319572,-0.13333333333333347,-0.9202453987730054
30,-2.5,-0.5,0.15,60,10,69,0,69,-75.63613558641009,0.0,0.0,-3.379775214019444,0.08499286073260873,-1.0961758780639144,-0.26666666666666694,-1.8404907975460107
20,-2.0,0.0,0.15,45,5,108,0,108,-60.67715859685169,0.0,0.0,-3.395703281222688,0.06535552116995211,-0.5618255425634415,-0.06666666666666674,-1.143617021276596
20,-2.0,0.0,0.15,45,10,108,0,108,-121.35431719370338,0.0,0.0,-3.395703281222688,0.13071104233990208,-1.123651085126883,-0.13333333333333347,-2.287234042553192
20,-2.0,0.0,0.15,60,5,108,0,108,-60.67715859685169,0.0,0.0,-3.395703281222688,0.06535552116995211,-0.5618255425634415,-0.06666666666666674,-1.143617021276596
20,-2.0,0.0,0.15,60,10,108,0,108,-121.35431719370338,0.0,0.0,-3.395703281222688,0.13071104233990208,-1.123651085126883,-0.13333333333333347,-2.287234042553192
20,-2.5,0.0,0.1,45,5,88,0,88,-47.79773280229148,0.0,0.0,-3.4047783667718385,0.05247609537539165,-0.5431560545714941,-0.06666666666666674,-0.9202453987730054
